Date,T-BILL,CANADA,JAPAN,FRANCE,GERMANY,ITALY,SWITZERLAND,UNITED KINGDOM ,USA ,WORLD
31-Jul-01,0.034400001,-0.005150532,-0.07453263,0.004492915,0.003725354,0.021389482,-0.009644462,0.000556558,-0.010325498,0.006730008
31-Aug-01,0.0328,-0.055707278,-0.025058914,-0.034190159,-0.071267625,-0.010256685,-0.003719253,-0.014319327,-0.067872438,0.019067167
28-Sep-01,0.023,-0.094706463,-0.096182182,-0.116886658,-0.162453512,-0.137769783,-0.046152695,-0.067644287,-0.077427773,-0.033430274
31-Oct-01,0.0201,0.000326401,-0.001978281,0.050136634,0.043975979,0.031897195,0.002232466,0.018335988,0.013556651,0.002570619
30-Nov-01,0.0173,0.090564507,0.010891844,0.029478009,0.087778479,0.018281857,0.021775039,0.019728215,0.07539817,0.017705389
31-Dec-01,0.0167,0.01418012,-0.067644224,0.031724834,0.030543218,0.012946092,0.020185583,0.023247973,0.005143699,0.023705457
31-Jan-02,0.0172,-0.008220665,-0.078339265,-0.063636434,-0.046680657,-0.035494866,-0.055502086,-0.04264754,-0.015130839,0.050936888
28-Feb-02,0.0172,-0.011560863,0.041333174,0.00852267,-0.013192008,-0.002305496,0.028875055,-0.009018488,-0.021092938,0.037255841
29-Mar-02,0.0174,0.034102781,0.053457012,0.052933892,0.079286724,0.063604047,0.061500109,0.040856106,0.036419281,-0.023081396
30-Apr-02,0.0173,-0.008380617,0.058205752,-0.016680399,-0.032574387,0.002881696,0.024020189,0.001644245,-0.065674369,0.030069593
31-May-02,0.01705,0.020249711,0.062294936,-0.003958381,-0.016967109,-0.0315834,0.036094027,-0.018666543,-0.008997442,-0.021687771
28-Jun-02,0.01659,-0.05842708,-0.052256123,-0.031719397,-0.031372412,-0.005207293,-0.039799522,-0.043972884,-0.077460634,-0.023923279
31-Jul-02,0.01665,-0.113404901,-0.069488842,-0.135355852,-0.165426441,-0.101269277,-0.120220077,-0.068827929,-0.072943449,0.015164999
30-Aug-02,0.01645,0.011199586,-0.010728208,-0.015869222,0.004336395,0.013983403,-0.001339685,-0.016415747,0.003185908,0.007127328
30-Sep-02,0.01527,-0.082232341,-0.047475908,-0.153360545,-0.243513919,-0.137840247,-0.065770217,-0.105254339,-0.114212302,0.03426154
31-Oct-02,0.014170001,0.029154996,-0.069706314,0.129934144,0.139807806,0.082930821,0.033937053,0.076819717,0.089263327,0.005588426
29-Nov-02,0.01202,0.057224518,0.039951429,0.042254265,0.056661894,0.093068176,0.025014775,0.027577881,0.058343456,0.024690118
31-Dec-02,0.01182,-0.009683933,-0.025547068,-0.02766487,-0.076751439,-0.021400654,-0.025867349,-0.022752485,-0.062009225,-0.024854816
31-Jan-03,0.01148,0.026845254,-0.040599432,-0.033441565,-0.027025983,-0.015148852,-0.034164035,-0.071170153,-0.025445589,0.03143532
28-Feb-03,0.01175,0.033258278,0.005652626,-0.04900598,-0.069677035,0.031075156,-0.052952378,-0.021447382,-0.017177679,0.021414476
31-Mar-03,0.0109,-0.015010189,-0.049696415,-0.037173851,-0.037839419,-0.078877532,-0.009204681,-0.008410105,0.007948878,0.04406971
30-Apr-03,0.01101,0.062725616,-0.007887767,0.153014739,0.22388828,0.134771892,0.105192674,0.100470006,0.082230946,-0.002863213
30-May-03,0.01085,0.083885934,0.048050642,0.060529786,0.056934021,0.104636213,0.06008642,0.058102144,0.051799284,0.019565466
30-Jun-03,0.00838,0.024479378,0.073467746,0.009834662,0.047276093,-0.032098025,-0.001330547,0.006752687,0.010957178,0.028695125
31-Jul-03,0.00927,0.002532045,0.040557051,0.017499762,0.059217326,-0.002562872,0.039393264,0.004720063,0.017184936,-0.037229317
29-Aug-03,0.0096,0.050523108,0.105227017,0.007321348,-0.016716815,-0.032392214,-0.009128699,-0.013736411,0.01713177,-0.001754585
30-Sep-03,0.00926,0.015949536,0.055816905,0.004274384,-0.007315658,0.038328184,0.043128765,0.033296144,-0.012904621,0.005530596
31-Oct-03,0.00932,0.066314429,0.045699043,0.068359223,0.119058658,0.04890672,0.022205991,0.066658487,0.055500984,0.023839124
