Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,SMB,HML,Mkt-RF
200008,9.1357,8.5968,3.8157,5.3726,5.4112,8.1334,4.3678,3.6947,6.7112,6.8133,8.1879,10.3988,6.1562,6.6336,7.5728,13.9813,5.8562,6.2701,7.027,6.7473,7.4186,6.2651,11.3112,5.616,5.6996,-0.62,-1.38,7.03
200009,-10.6127,-1.2745,-2.729,-0.4437,-0.6544,-4.1831,-3.7015,0.1605,-1.8917,-2.0483,-10.3512,-3.1733,-0.6199,2.6696,1.6431,-9.7703,-0.7499,-0.1843,2.1778,-0.6868,-6.1322,-2.082,2.4693,9.1817,-1.6371,-1.82,7.17,-5.45
200010,-12.0582,-10.4713,-3.6191,-4.8355,-4.5954,-9.3756,-0.1968,-0.7375,-0.436,-1.7693,-10.7403,-1.5272,0.0504,-1.0189,2.2896,-5.6535,2.2032,2.0523,-1.9269,4.0095,-2.0686,2.1515,-5.0186,2.68,3.3731,-3.87,5.7,-2.76
200011,-20.6671,-12.88,-6.3705,-4.9139,-4.6694,-18.3794,-6.2945,-3.0279,-4.7377,-3.1891,-19.6611,-6.494,-5.5339,-0.4017,1.6007,-19.1415,-1.7426,0.8632,1.1828,0.9671,-10.5263,-6.1271,-6.8946,1.1829,0.548,-3.43,12.32,-10.72
200012,-9.7966,1.285,0.8447,3.254,2.8306,0.0481,6.9562,11.9901,9.9427,12.6413,2.0993,13.5452,11.3053,13.4847,10.1714,4.2311,8.0983,12.0246,13.2727,11.8341,-1.3752,8.7538,6.1501,7.9388,0.4421,0.72,7.61,1.19
200101,27.1087,17.7462,12.9981,12.198,13.2182,14.375,7.6797,4.5159,6.3223,6.0191,12.9861,3.0007,-0.063,-1.3343,3.4887,7.3251,1.5068,-0.4864,-3.3677,6.8065,3.2503,2.9117,7.1449,-5.4891,1.5723,6.69,-5.09,3.13
200102,-13.111,-10.1349,-2.5207,0.5348,-0.1935,-14.0202,-2.1546,-0.4519,-3.2354,1.7883,-16.9696,-4.1078,-0.9092,1.6808,-0.9905,-15.5931,-2.5048,-0.1275,0.0364,1.8211,-11.9656,-2.5127,-2.0424,3.8869,4.2933,-0.79,12.48,-10.05
200103,-12.7665,-1.3326,-1.404,0.1014,-1.9409,-5.484,-0.6071,-1.6572,-2.0393,-1.4237,-11.993,-5.0948,-2.7808,-3.1878,-0.6256,-11.93,-3.5362,-1.2525,-1.1946,0.2876,-8.5425,-1.9489,-0.3145,-2.7473,-2.6452,0.24,6.42,-7.26
200104,9.7454,7.0876,3.176,4.4659,5.2269,11.1158,5.2593,7.0589,3.9094,5.1591,11.2273,9.104,6.0964,5.5449,4.5065,16.5099,7.0621,5.7707,8.2002,7.7981,9.0891,5.2307,3.3722,2.0131,7.4412,0.55,-4.68,7.94
200105,12.6887,11.6377,9.9463,11.6909,10.0856,1.7241,4.1616,2.2484,4.4921,5.6075,4.9872,-0.4137,3.5812,1.5785,1.8424,3.3881,4.3217,3.2053,0.3672,4.3666,0.1083,0.5868,3.7612,4.0086,5.6966,2.49,3.38,0.72
