date,T_BILL_3_MO,SP_CONSUM_DIS,SP_HEALTH,SP_TELE_COMM,SP_FINANCE,SP_UTIL,SP_500,SP_CONSUM_STAPLE,SP_MATERIALS,SP_INFO_TECH,SP_ENEGY
19990101,0.0436,0.062901483,0.003816049,0.095309906,0.016585308,-0.046135921,0.041009441,-0.015035775,-0.029418496,0.158503928,-0.07936338
19990201,0.0455,0.003263099,0.005552212,-0.027471866,0.028203809,-0.025584115,-0.032282562,-0.031827038,-0.00031235,-0.120723356,-0.006375077
19990301,0.0436,0.043224652,0.02604486,-0.006349977,0.02652383,-0.012413117,0.038794215,-0.016764349,0.025185834,0.091734311,0.164443142
19990401,0.0443,0.022983398,-0.070525276,0.022868109,0.066650813,0.072312807,0.037944028,0.013888838,0.229506878,-0.005706028,0.155048945
19990501,0.0451,-0.063518829,-0.044477801,0.005844974,-0.068291307,0.043578233,-0.024970481,-0.016008216,-0.102144759,-0.014788977,-0.055582496
19990601,0.0467,0.054250578,0.049155869,0.072969435,0.058428901,-0.028112198,0.054438331,-0.024946653,0.011379737,0.150514946,0.022910214
19990701,0.0462,-0.061897265,-0.063504336,-0.01504586,-0.068323787,-0.01941684,-0.032046092,-0.009073806,-0.029647712,-0.020604026,0.003900651
19990801,0.0485,-0.031461793,0.026649847,-0.106930222,-0.045191946,0.001501816,-0.006254092,-0.012768018,-0.054762185,0.06254871,0.028582094
19990901,0.0471,-0.005392408,-0.095321176,0.026436536,-0.061880331,-0.053481188,-0.028551792,-0.10693747,-0.047012774,-0.007411805,-0.039969238
19991001,0.0496,0.06471162,0.074197802,0.083986351,0.179897052,0.00280684,0.062539541,0.069452124,0.023484287,0.021461443,-0.008999238
19991101,0.0515,0.01652759,0.006280197,0.033478139,-0.035490133,-0.072008849,0.019061859,0.0192816,-0.002278231,0.111145425,0.012500646
19991201,0.0517,0.085361024,-0.072938217,-0.010756343,-0.017978647,0.01215173,0.057843895,-0.043448262,0.105459641,0.175375962,-0.024756987
20000101,0.0553,-0.058718607,0.063945647,-0.025105027,0.012662708,0.136072107,-0.050903549,-0.050727125,-0.102900072,-0.101082973,0.01277955
20000201,0.0564,-0.081866976,-0.10456143,-0.07026952,-0.111496129,-0.057391697,-0.020108083,-0.102022935,-0.113967261,0.10586614,-0.062260852
20000301,0.0572,0.117096445,0.068618821,0.061153479,0.166654749,0.033499271,0.096719828,-0.022562769,0.118240762,0.069222347,0.080830242
20000401,0.0565,-0.046728681,0.033054484,-0.076273284,-0.077899337,0.074320788,-0.030795756,-0.016950094,-0.073724472,-0.046451576,-0.029589822
20000501,0.0549,-0.061577621,0.060866081,-0.118816368,0.049073264,0.03256691,-0.021915051,0.093908253,-0.029499605,-0.117352303,0.08462645
20000601,0.057,-0.028918419,0.086561352,0.001915457,-0.085932112,-0.062939061,0.02393355,0.004245663,-0.088959175,0.063165094,-0.046890462
20000701,0.0602,-0.013254155,-0.053149726,-0.112629546,0.073662575,0.041986349,-0.016341276,-0.014080838,-0.024322097,-0.056305462,-0.035304037
20000801,0.0611,-0.030911334,-0.032666088,-0.038153828,0.085814294,0.098570647,0.060699105,-0.035561231,8.32E-05,0.135158637,0.067751451
20000901,0.0603,-0.034138181,0.048888668,-0.022691424,0.033196581,0.078802292,-0.053482975,0.041836133,-0.099583976,-0.188681237,0.019619528
20001001,0.0615,-0.012005157,0.048356816,0.03857154,-0.021211137,-0.049709099,-0.004956419,0.105511733,0.111183916,-0.053207873,-0.041329719
20001101,0.0601,-0.066082711,0.032839163,-0.095417203,-0.052444132,-0.034632413,-0.08006861,0.052260356,-0.016515491,-0.194850614,-0.060059391
20001201,0.0573,0.028570174,0.049250251,-0.065944081,0.091686389,0.094654128,0.004053446,0.049257579,0.106059358,-0.117228802,0.042456495
20010101,0.0484,0.148413526,-0.065398861,0.114860817,0.024167899,-0.064666352,0.034636577,-0.058803689,-0.003653048,0.263132343,-0.047197488
20010201,0.0472,-0.072167617,-0.009541924,-0.110179151,-0.073312882,0.04301857,-0.092290735,-0.001459539,-0.000927104,-0.286162205,-0.01445956
20010301,0.0418,-0.033118264,-0.068171711,-0.013530133,-0.030543821,-0.013206045,-0.064204711,-0.04732414,-0.048932773,-0.159086139,-0.023504382
20010401,0.0383,0.101667316,0.05411892,0.046484871,0.032438024,0.05532773,0.076814362,-0.00488512,0.115547233,0.202744608,0.124709734
20010501,0.0354,0.006978023,0.008550614,-0.042820242,0.02811508,-0.033447327,0.005090187,-0.005808906,0.030217378,-0.076072494,0.00247204
20010601,0.0356,-0.016828582,-0.056902516,-0.039423966,0.001147543,-0.071119787,-0.025035389,-0.032295446,-0.04723851,-0.006335608,-0.06754023
20010701,0.0344,-0.006894178,0.037591032,0.025219796,-0.026107128,-0.048616258,-0.010772499,-0.002706644,-0.008666539,-0.067926046,-0.014516674
20010801,0.0328,-0.104354875,-0.02930058,-0.105345246,-0.06792838,-0.040342773,-0.064108407,0.049061501,-0.000445681,-0.150271612,-0.034048558
20010901,0.023,-0.134003048,-0.000730934,0.05463536,-0.055678708,-0.123509435,-0.081723406,-0.032411166,-0.123402403,-0.172500598,-0.077108329
20011001,0.0201,0.031786192,-0.019375423,-0.135058849,-0.018807139,-0.011940506,0.018099111,-0.003420305,0.029233372,0.18630164,0.046239938
20011101,0.0173,0.108857919,0.035113206,-0.000120981,0.049581085,-0.056936917,0.075175904,0.006857229,0.093950632,0.117814262,-0.060780486
20011201,0.0167,0.039003444,-0.035253194,0.008760917,0.03610594,0.036668587,0.007573834,0.006823087,-0.011893303,-0.005714636,0.040169359
20020101,0.0172,-0.008807132,-0.009088313,-0.084701606,-0.016709853,-0.058920343,-0.015573832,0.011505292,0.017736364,0.006074317,-0.018979527
20020201,0.0172,0.01256363,0.000575377,-0.063949691,-0.01565185,-0.026534477,-0.020766211,0.039501704,0.049922416,-0.13735823,0.038765713
20020301,0.0174,0.015186445,0.001830384,-0.026313922,0.064395055,0.119241996,0.036738893,0.031467667,0.031179794,0.050281471,0.060909731
20020401,0.0173,-0.038527172,-0.062322118,-0.15885598,-0.024501983,-0.021497499,-0.061417626,0.019599558,-0.048443145,-0.11916937,-0.054801646
20020501,0.0171,-0.002364255,-0.016251286,0.038279941,-0.003543149,-0.090784573,-0.009081481,0.008077532,0.047724855,-0.035583887,0.00363356
20020601,0.0166,-0.080995301,-0.091710956,-0.125487364,-0.049212716,-0.075157975,-0.072455354,-0.060863837,-0.022298185,-0.120271155,-0.003298219
20020701,0.0166,-0.117330021,-0.021809267,-0.126864288,-0.083192343,-0.143252262,-0.079004275,-0.046256148,-0.113456854,-0.070887439,-0.127982331
