date,change
19990101.0,-0.07936338006296151
19990201.0,-0.006375077077554206
19990301.0,0.16444314214817599
19990401.0,0.1550489453418083
19990501.0,-0.055582496062725216
19990601.0,0.022910213587660936
19990701.0,0.003900650867064166
19990801.0,0.02858209419346942
19990901.0,-0.03996923819268656
19991001.0,-0.0089992379639646
19991101.0,0.012500646126987432
19991201.0,-0.02475698705927059
20000101.0,0.012779549647828363
20000201.0,-0.06226085174866077
20000301.0,0.08083024197309041
20000401.0,-0.02958982216162639
20000501.0,0.08462645015569421
20000601.0,-0.046890461804136224
20000701.0,-0.03530403725476024
20000801.0,0.0677514509035341
20000901.0,0.01961952839256902
20001001.0,-0.041329719398684316
20001101.0,-0.06005939124446809
20001201.0,0.0424564946864334
20010101.0,-0.047197487534620004
20010201.0,-0.014459560387739752
20010301.0,-0.023504382435361622
20010401.0,0.12470973355513451
20010501.0,0.0024720401358846026
20010601.0,-0.067540230199999
20010701.0,-0.014516673814802683
20010801.0,-0.034048558072830346
20010901.0,-0.07710832915082497
20011001.0,0.04623993817851077
20011101.0,-0.06078048577095795
20011201.0,0.04016935948915431
20020101.0,-0.018979527309751543
20020201.0,0.03876571254353427
20020301.0,0.06090973103451629
20020401.0,-0.05480164632183456
20020501.0,0.003633559707364187
20020601.0,-0.003298219013457441
20020701.0,-0.12798233114567673
20020801.0,-0.004372803549499381
20020901.0,-0.08540855095270414
20021001.0,0.02891574446653394
20021101.0,0.030199049015875935
20021201.0,-0.00516078302255819
20030101.0,-0.02593785766040684
20030201.0,0.015593441767623055
20030301.0,0.005380748373501768
20030401.0,-0.009458607467168015
20030501.0,0.07785739122884719
20030601.0,-0.010915336767832611
20030701.0,-0.025052568367077643
20030801.0,0.05665838712730623
20030901.0,-0.024432855052157972
20031001.0,0.0038682470713796314
20031101.0,-0.0017738120169132749
20031201.0,0.1314487253096086
20040101.0,0.0120406568056586
20040201.0,0.04387050408259666
20040301.0,-0.006736131092679692
20040401.0,0.016464067650227808
20040501.0,0.0009651115349556957
20040601.0,0.05147989596593914
20040701.0,0.033211013192811174
20040801.0,-0.013852967094124738
20040901.0,0.08369860249170367
20041001.0,0.006174368585330979
20041101.0,0.05723814497897358
20041201.0,-0.02029795582662957
20050101.0,0.02716279044194925
20050201.0,0.18285152370179344
20050301.0,-0.03641493464236005
20050401.0,-0.05309106639928075
20050501.0,0.013626231630868258
20050601.0,0.057780721881470445
20050701.0,0.05701459510014394
20050801.0,0.05096098011724647
20050901.0,0.0599564613413033
20051001.0,-0.09392019814820034
20051101.0,0.013469273103484041
20051201.0,0.00479848691392801
20060101.0,0.13851842578656265
20060201.0,-0.08144028360723597
20060301.0,0.03842999347215048
20060401.0,0.0511389205727968
20060501.0,-0.03179937583420724
20060601.0,0.020390808708758673
20060701.0,0.049625276671045195
20060801.0,-0.040706221080459654
20060901.0,-0.027907080721333747
20061001.0,0.04463023271340717
20061101.0,0.08056032927795752
20061201.0,-0.01901539075461148
20070101.0,-0.018483993261251386
20070201.0,-0.022948421681685188
20070301.0,0.06075592189349691
20070401.0,0.0520750267326005
20070501.0,0.0724307642227564
20070601.0,0.017205995146723475
20070701.0,0.007060448319341142
20070801.0,0.005436242033078777
20070901.0,0.0803952588421038
20071001.0,0.010337121114771421
20071101.0,-0.03981620227757964
20071201.0,0.07292943888377713
20080101.0,-0.10926299418625542
20080201.0,0.06661075423155474
20080301.0,-0.026669869717163893
20080401.0,0.10865231447622721
20080501.0,0.03163931856084106
20080601.0,0.022440366798613273
20080701.0,-0.13993863532879602
20080801.0,-0.0083636535411405
20080901.0,-0.1199848946030311
20081001.0,-0.18011650873422616
20081101.0,0.0039879749183852585
20081201.0,-0.04057710953543772
20090101.0,-0.03160344574138993
20090201.0,-0.12455231806013466
20090301.0,0.03706412595148475
20090401.0,0.04813355645329817
20090501.0,0.09920793330192028
20090601.0,-0.04661837959534245
20090701.0,0.04301309984849782
20090801.0,0.0035647929908501274
20090901.0,0.04599933585214553
20091001.0,0.031540895016279866
20091101.0,0.028516635770337747
20091201.0,-0.009833699511003286
20100101.0,-0.04507501879888438
20100201.0,0.01875436966191397
20100301.0,0.028785255603237473
20100401.0,0.04429364334254962
20100501.0,-0.11807641394650008
20100601.0,-0.05790924364364068
20100701.0,0.07976224144329122
20100801.0,-0.04713002755771875
20100901.0,0.0914509632571996
20101001.0,0.0556205021472651
20101101.0,0.05110823856018315
20101201.0,0.0894100868743252
20110101.0,0.06881104117846572
20110201.0,0.06772204000437697
20110301.0,0.014879389158599439
20110401.0,0.01478003429220668
20110501.0,-0.04606877349978975
20110601.0,-0.019299786659933368
20110701.0,0.006363274262280971
20110801.0,-0.10035172561824356
20110901.0,-0.12581928028713948
20111001.0,0.16951594569099374
20111101.0,0.005117359349228601
20111201.0,-0.010638049945151723
20120101.0,0.014823125082987117
20120201.0,0.054547432419386206
20120301.0,-0.033712463257461356
20120401.0,-0.009806229841468199
20120501.0,-0.10623654141380838
20120601.0,0.05036620324472214
20120701.0,0.047211319573752006
20120801.0,0.018789317530935105
20120901.0,0.03285607455637859
20121001.0,-0.020410384713383696
20121101.0,-0.019744825594948334
20121201.0,-0.004639712322871025
20130101.0,0.07589678306856251
20130201.0,-0.004319878570913296
20130301.0,0.025854991396302943
20130401.0,-0.008852558729654425
20130501.0,0.02129499739365715
20130601.0,-0.018127146081656116
20130701.0,0.04804961495651478
20130801.0,-0.021548138851415828
20130901.0,0.013047009449117521
20131001.0,0.04121935029567579
20131101.0,0.004700588979069022
20131201.0,0.030406015423623686
